Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1080,0.03161420442071539,-6.534225504730903,-63.21986974280551
1107.511512820775,0.03214942177631177,-6.769632491130537,-64.06562649817825
1135.723843546816,0.0308513860321982,-7.010958092067288,-64.92438509573927
1164.654844549221,0.03178910640646228,-7.258030576520141,-65.7923361159532
1194.32282296366,0.03206451786490126,-7.519077793318731,-66.64162497765733
1224.746552274871,0.03156635233532498,-7.783713142690261,-67.51717215654919
1255.945284196269,0.03181587413463068,-8.058288715050912,-68.36601797505487
1287.938760852155,0.03195968243949346,-8.341142025130091,-69.20352019339937
1320.747227270263,0.03127153545567378,-8.638877858638402,-70.07321391178266
1354.39144419253,0.03071417506398688,-8.942187883525454,-70.91660960097501
1388.892701212206,0.03118803258237883,-9.257185068692007,-71.78657900322308
1424.272830245613,0.03061912814474404,-9.589424022751666,-72.62805227364946
1460.554219347079,0.03094127191868552,-9.932206895605553,-73.50612010235702
1497.759826875786,0.03089296025634307,-10.28671903235117,-74.37312090919472
1535.913196023504,0.03013990055246083,-10.65664208506991,-75.24757085143661
1575.03846971239,0.03060581646852181,-11.04279992060218,-76.10812546159922
1615.160405872303,0.03154092604362843,-11.44821154517544,-76.96607900665559
1656.304393107269,0.03049622172953337,-11.8762074598321,-77.8680965279848
1698.496466761043,0.02948624007308683,-12.31723087331828,-78.74278486280224
1741.76332539191,0.03000413718289503,-12.78282624322896,-79.66382538104855
1786.132347667165,0.03007559171139286,-13.27352732298985,-80.55786650943693
1831.631609687948,0.03029194391715708,-13.79415175640148,-81.48673588830854
1878.289902755416,0.03004913253898841,-14.34764525654549,-82.40489040019567
1926.136751589478,0.02908227942560467,-14.92638737592674,-83.41686184712401
1975.202433011626,0.03079651118387849,-15.55710273521026,-84.42252797257052
2025.517995103685,0.02967136798769691,-16.22519225154849,-85.44868519989923
2077.115276854616,0.02983860747721806,-16.96010742534275,-86.52957553381475
2130.026928307776,0.03062961645284084,-17.75594338761831,-87.64554159563586
2184.286431221419,0.02990862127269844,-18.62026549487368,-88.86926240790329
2239.928120255485,0.0301226619943042,-19.57897966889348,-90.27514146056765
2296.987204698099,0.01852366135976114,-20.65025614212273,-91.75402369566211
2355.499790745514,0.02460671846408258,-21.91001545331677,-93.52565885568656
2415.502904349613,0.02918466260305854,-23.34943789177777,-95.54203680967616
2477.034514647421,0.03096001346070367,-25.06528314602092,-98.41076470930969
2540.133557987443,0.02835866642067597,-27.12891553075205,-102.4255551660598
2604.839962568046,0.03065203951217584,-29.86046008734634,-107.9922687893309
2671.194673703469,0.023992837038935,-33.53898433394456,-120.3481888017398
2739.239679733449,0.02855782459594594,-38.21175545099477,-151.533375876096
2809.018038592857,0.03040055720396133,-38.02827399982842,147.8906815298838
2880.573905058167,0.01594588318936885,-33.31993847305044,118.5553175809666
2953.952558687979,0.02881449547208048,-29.70683797059788,106.8672664795156
3029.200432475298,0.03058752121294375,-27.00382336278094,100.9909584494837
3106.365142229687,0.02016839592392514,-24.94394332615753,97.25174314818162
3185.49551670789,0.02795094876458215,-23.25730879254905,94.76961847367879
3266.641628511991,0.03129776495055001,-21.82870525694083,92.40215377228739
3349.854825774662,0.01887286086274982,-20.59921671316408,90.77045276978325
3435.187764651544,0.030113212918351,-19.54351858502987,89.21648480535298
3522.694442641339,0.0252926673791539,-18.58274915206256,87.92632166253273
3612.430232754672,0.02901415242509786,-17.71534439418506,86.68812356051566
3704.45191855336,0.03108881605324383,-16.9494569067628,85.49396518444755
3798.817730082272,0.02766489520519189,-16.22505274754955,84.52159959245043
3895.58738071648,0.02957959363065099,-15.54690974228568,83.47660067821035
3994.822104947062,0.02908969324686211,-14.93073858784304,82.41028311033276
4096.584697129437,0.02907917240752054,-14.34937357347517,81.50885171943088
4200.939551218757,0.02924604740748713,-13.80607030640607,80.52873442959068
4307.952701517511,0.03202258632413604,-13.28595738782176,79.57311070361462
4417.691864461112,0.03083559944648934,-12.79983826608983,78.73676826267888
4530.226481467921,0.02910792823113353,-12.33612187935745,77.83949543269564
4645.627762880808,0.03288642203139243,-11.89700322674417,76.89688877469958
4763.968733028069,0.0255468273341913,-11.48336439979746,76.02006579794063
4885.324276432209,0.03099452771519332,-11.08545667184477,75.21373227321823
5009.771185195826,0.02468937531545713,-10.70064307818819,74.35888042048865
5137.388207594587,0.0302591430945894,-10.32360332059502,73.48519111478093
5268.256097908045,0.03008993254233962,-9.98340195467979,72.6221777896438
5402.457667519824,0.02700512470120774,-9.639220798036416,71.74177168078788
5540.077837319513,0.03026985898415055,-9.312592033505583,70.92442735841541
5681.203691439426,0.03278838901664315,-8.999834616995104,70.01138039321187
5825.924532360229,0.03025586218942891,-8.694414997784683,69.23702004271981
5974.331937420316,0.03073503827411758,-8.405550681569261,68.34700774215401
6126.51981676467,0.02960717984512059,-8.12640943699059,67.49429279708986
