Time (s),Channel 1 (V),Channel 2 (V)
-0.0075657236184042,-3.016822549014479,-3.042019964268403
-0.0075638736184042,-3.016822549014479,-3.032373474755598
-0.0075620236184042,-3.016822549014479,-3.032373474755598
-0.0075601736184042,-3.006244567830755,-3.022726985242793
-0.0075583236184042,-3.006244567830757,-3.022726985242794
-0.0075564736184042,-3.016822549014477,-3.032373474755596
-0.0075546236184042,-3.016822549014479,-3.032373474755598
-0.0075527736184042,-3.016822549014479,-3.032373474755599
-0.0075509236184042,-3.016822549014479,-3.042019964268401
-0.0075490736184042,-3.027400530198202,-3.042019964268403
-0.0075472236184042,-3.027400530198201,-3.042019964268403
-0.0075453736184042,-3.016822549014481,-3.042019964268403
-0.0075435236184042,-3.016822549014479,-3.032373474755598
-0.0075416736184042,-3.006244567830755,-3.032373474755597
-0.0075398236184042,-3.006244567830755,-3.022726985242795
-0.0075379736184042,-3.006244567830755,-3.032373474755598
-0.0075361236184042,-3.006244567830757,-3.032373474755598
-0.0075342736184042,-3.016822549014477,-3.032373474755598
-0.0075324236184042,-3.027400530198202,-3.042019964268403
-0.0075305736184042,-3.016822549014479,-3.032373474755599
-0.0075287236184042,-3.016822549014479,-3.042019964268401
-0.0075268736184042,-3.027400530198202,-3.042019964268403
-0.0075250236184042,-3.027400530198202,-3.042019964268404
-0.0075231736184042,-3.027400530198202,-3.051666453781206
-0.0075213236184042,-3.027400530198202,-3.042019964268403
-0.0075194736184042,-3.027400530198201,-3.042019964268402
-0.0075176236184042,-3.016822549014481,-3.0323734747556
-0.0075157736184042,-3.027400530198202,-3.042019964268403
-0.0075139236184042,-3.016822549014479,-3.042019964268402
-0.0075120736184042,-3.016822549014479,-3.0323734747556
-0.0075102236184042,-3.016822549014479,-3.032373474755598
-0.0075083736184042,-3.016822549014479,-3.032373474755598
-0.0075065236184042,-3.016822549014479,-3.032373474755598
-0.0075046736184042,-3.016822549014479,-3.032373474755598
-0.0075028236184042,-3.016822549014479,-3.032373474755598
-0.0075009736184042,-3.016822549014479,-3.032373474755598
-0.0074991236184042,-3.016822549014479,-3.032373474755598
-0.0074972736184042,-3.016822549014479,-3.032373474755598
-0.0074954236184042,-3.016822549014479,-3.032373474755598
-0.0074935736184042,-3.016822549014479,-3.032373474755598
-0.0074917236184042,-3.027400530198202,-3.042019964268403
-0.0074898736184042,-3.027400530198202,-3.042019964268403
-0.0074880236184042,-3.016822549014479,-3.032373474755598
-0.0074861736184042,-3.016822549014479,-3.032373474755598
-0.0074843236184042,-3.016822549014479,-3.032373474755598
-0.0074824736184042,-3.016822549014479,-3.032373474755598
-0.0074806236184042,-3.016822549014479,-3.032373474755598
-0.0074787736184042,-3.016822549014479,-3.032373474755598
-0.0074769236184042,-3.016822549014479,-3.032373474755598
-0.0074750736184042,-3.016822549014479,-3.032373474755598
-0.0074732236184042,-3.016822549014479,-3.032373474755598
-0.0074713736184042,-3.016822549014479,-3.032373474755598
-0.0074695236184042,-3.016822549014478,-3.032373474755598
-0.0074676736184042,-3.006244567830757,-3.032373474755598
-0.0074658236184042,-3.016822549014479,-3.032373474755598
-0.0074639736184042,-3.016822549014479,-3.032373474755598
-0.0074621236184042,-3.016822549014479,-3.032373474755598
-0.0074602736184042,-3.016822549014479,-3.032373474755598
-0.0074584236184042,-3.01682254901448,-3.042019964268403
-0.0074565736184042,-3.027400530198201,-3.042019964268403
-0.0074547236184042,-3.027400530198202,-3.042019964268403
-0.0074528736184042,-3.016822549014479,-3.042019964268402
-0.0074510236184042,-3.016822549014479,-3.0323734747556
-0.0074491736184042,-3.016822549014479,-3.042019964268403
-0.0074473236184042,-3.01682254901448,-3.042019964268403
-0.0074454736184042,-3.027400530198201,-3.042019964268403
-0.0074436236184042,-3.016822549014479,-3.042019964268403
-0.0074417736184042,-3.01682254901448,-3.042019964268403
-0.0074399236184042,-3.027400530198201,-3.042019964268403
-0.0074380736184042,-3.027400530198202,-3.042019964268403
-0.0074362236184042,-3.027400530198202,-3.051666453781207
-0.0074343736184042,-3.027400530198202,-3.042019964268405
-0.0074325236184042,-3.016822549014479,-3.042019964268403
-0.0074306736184042,-3.027400530198202,-3.042019964268403
-0.0074288236184042,-3.027400530198202,-3.042019964268403
-0.0074269736184042,-3.016822549014479,-3.042019964268403
-0.0074251236184042,-3.016822549014479,-3.042019964268402
-0.0074232736184042,-3.016822549014479,-3.0323734747556
-0.0074214236184042,-3.016822549014479,-3.032373474755598
-0.0074195736184042,-3.006244567830755,-3.032373474755598
-0.0074177236184042,-3.006244567830755,-3.032373474755598
-0.0074158736184042,-3.006244567830755,-3.022726985242793
-0.0074140236184042,-3.006244567830755,-3.032373474755598
-0.0074121736184042,-3.006244567830755,-3.032373474755598
-0.0074103236184042,-3.016822549014479,-3.032373474755598
-0.0074084736184042,-3.016822549014478,-3.032373474755597
-0.0074066236184042,-3.006244567830757,-3.022726985242795
-0.0074047736184042,-3.006244567830755,-3.022726985242793
-0.0074029236184042,-3.006244567830755,-3.022726985242793
-0.0074010736184042,-3.006244567830755,-3.022726985242793
-0.0073992236184042,-3.006244567830755,-3.022726985242793
-0.0073973736184042,-3.006244567830755,-3.022726985242794
-0.0073955236184042,-3.006244567830755,-3.032373474755596
-0.0073936736184042,-3.016822549014479,-3.032373474755598
-0.0073918236184042,-3.01682254901448,-3.032373474755599
-0.0073899736184042,-3.027400530198201,-3.042019964268401
-0.0073881236184042,-3.016822549014479,-3.042019964268403
-0.0073862736184042,-3.016822549014478,-3.032373474755598
-0.0073844236184042,-3.006244567830757,-3.032373474755598
-0.0073825736184042,-3.006244567830755,-3.022726985242793
-0.0073807236184042,-3.006244567830757,-3.032373474755598
-0.0073788736184042,-3.016822549014477,-3.032373474755598
-0.0073770236184042,-3.016822549014479,-3.032373474755598
-0.0073751736184042,-3.016822549014478,-3.032373474755598
-0.0073733236184042,-3.006244567830757,-3.032373474755598
-0.0073714736184042,-3.006244567830755,-3.032373474755598
-0.0073696236184042,-3.006244567830755,-3.032373474755597
-0.0073677736184042,-3.006244567830755,-3.022726985242795
-0.0073659236184042,-3.006244567830755,-3.032373474755598
-0.0073640736184042,-3.016822549014479,-3.032373474755598
-0.0073622236184042,-3.016822549014479,-3.032373474755598
-0.0073603736184042,-3.016822549014479,-3.032373474755598
-0.0073585236184042,-3.01682254901448,-3.042019964268403
-0.0073566736184042,-3.027400530198201,-3.042019964268403
-0.0073548236184042,-3.027400530198202,-3.051666453781208
-0.0073529736184042,-3.027400530198202,-3.051666453781208
-0.0073511236184042,-3.027400530198202,-3.051666453781208
-0.0073492736184042,-3.027400530198202,-3.051666453781208
-0.0073474236184042,-3.027400530198202,-3.051666453781207
-0.0073455736184042,-3.027400530198202,-3.042019964268405
-0.0073437236184042,-3.027400530198202,-3.042019964268403
-0.0073418736184042,-3.027400530198202,-3.042019964268403
-0.0073400236184042,-3.027400530198202,-3.042019964268403
-0.0073381736184042,-3.027400530198202,-3.042019964268403
-0.0073363236184042,-3.027400530198202,-3.042019964268403
-0.0073344736184042,-3.027400530198202,-3.042019964268403
-0.0073326236184042,-3.016822549014479,-3.032373474755598
-0.0073307736184042,-3.016822549014479,-3.032373474755598
-0.0073289236184042,-3.016822549014479,-3.032373474755598
-0.0073270736184042,-3.016822549014479,-3.032373474755598
-0.0073252236184042,-3.006244567830757,-3.022726985242794
-0.0073233736184042,-3.016822549014477,-3.032373474755596
-0.0073215236184042,-3.016822549014479,-3.032373474755598
-0.0073196736184042,-3.016822549014478,-3.032373474755597
-0.0073178236184042,-3.006244567830757,-3.022726985242795
-0.0073159736184042,-2.995666586647032,-3.022726985242793
-0.0073141236184042,-3.006244567830755,-3.022726985242793
-0.0073122736184042,-3.006244567830755,-3.022726985242793
-0.0073104236184042,-3.006244567830755,-3.022726985242793
-0.0073085736184042,-3.006244567830755,-3.022726985242793
-0.0073067236184042,-3.006244567830755,-3.022726985242793
-0.0073048736184042,-3.016822549014479,-3.032373474755598
-0.0073030236184042,-3.01682254901448,-3.032373474755599
-0.0073011736184042,-3.027400530198201,-3.042019964268401
-0.0072993236184042,-3.027400530198202,-3.042019964268403
-0.0072974736184042,-3.016822549014479,-3.032373474755598
-0.0072956236184042,-3.016822549014479,-3.032373474755598
-0.0072937736184042,-3.016822549014479,-3.032373474755598
-0.0072919236184042,-3.027400530198202,-3.042019964268403
-0.0072900736184042,-3.027400530198202,-3.042019964268403
-0.0072882236184042,-3.016822549014479,-3.032373474755598
-0.0072863736184042,-3.016822549014479,-3.032373474755598
-0.0072845236184042,-3.016822549014479,-3.032373474755598
-0.0072826736184042,-3.016822549014479,-3.032373474755598
-0.0072808236184042,-3.016822549014479,-3.032373474755598
-0.0072789736184042,-3.016822549014479,-3.032373474755598
-0.0072771236184042,-3.016822549014479,-3.032373474755598
-0.0072752736184042,-3.016822549014479,-3.032373474755598
-0.0072734236184042,-3.016822549014479,-3.032373474755598
-0.0072715736184042,-3.016822549014479,-3.032373474755598
-0.0072697236184042,-3.016822549014479,-3.042019964268403
-0.0072678736184042,-3.016822549014479,-3.042019964268403
-0.0072660236184042,-3.016822549014479,-3.032373474755598
-0.0072641736184042,-3.016822549014479,-3.032373474755598
-0.0072623236184042,-3.016822549014479,-3.032373474755598
-0.0072604736184042,-3.016822549014479,-3.032373474755598
-0.0072586236184042,-3.016822549014479,-3.032373474755598
-0.0072567736184042,-3.016822549014479,-3.032373474755598
-0.0072549236184042,-3.016822549014479,-3.032373474755598
-0.0072530736184042,-3.01682254901448,-3.042019964268403
-0.0072512236184042,-3.027400530198201,-3.042019964268403
-0.0072493736184042,-3.027400530198202,-3.042019964268403
-0.0072475236184042,-3.016822549014479,-3.042019964268402
-0.0072456736184042,-3.016822549014479,-3.0323734747556
-0.0072438236184042,-3.016822549014479,-3.032373474755598
-0.0072419736184042,-3.016822549014478,-3.032373474755597
-0.0072401236184042,-3.006244567830757,-3.022726985242795
-0.0072382736184042,-3.006244567830755,-3.022726985242793
-0.0072364236184042,-2.995666586647032,-3.013080495729988
-0.0072345736184042,-2.995666586647032,-3.013080495729988
-0.0072327236184042,-3.006244567830755,-3.022726985242793
-0.0072308736184042,-3.006244567830757,-3.022726985242794
-0.0072290236184042,-3.016822549014477,-3.032373474755596
-0.0072271736184042,-3.016822549014479,-3.032373474755598
-0.0072253236184042,-3.016822549014479,-3.032373474755598
-0.0072234736184042,-3.016822549014479,-3.032373474755598
-0.0072216236184042,-3.016822549014479,-3.032373474755598
-0.0072197736184042,-3.01682254901448,-3.032373474755598
-0.0072179236184042,-3.027400530198201,-3.032373474755598
-0.0072160736184042,-3.016822549014479,-3.042019964268403
-0.0072142236184042,-3.016822549014478,-3.032373474755598
-0.0072123736184042,-3.006244567830757,-3.032373474755598
-0.0072105236184042,-3.006244567830755,-3.022726985242793
-0.0072086736184042,-3.006244567830754,-3.022726985242792
-0.0072068236184042,-2.995666586647034,-3.01308049572999
-0.0072049736184042,-3.006244567830755,-3.022726985242793
-0.0072031236184042,-3.006244567830755,-3.022726985242793
-0.0072012736184042,-3.006244567830755,-3.022726985242793
-0.0071994236184042,-3.006244567830755,-3.032373474755598
-0.0071975736184042,-3.016822549014479,-3.032373474755598
-0.0071957236184042,-3.016822549014479,-3.032373474755598
-0.0071938736184042,-3.016822549014479,-3.032373474755598
-0.0071920236184042,-3.01682254901448,-3.042019964268403
-0.0071901736184042,-3.027400530198201,-3.042019964268403
-0.0071883236184042,-3.027400530198202,-3.042019964268403
-0.0071864736184042,-3.027400530198202,-3.042019964268403
-0.0071846236184042,-3.027400530198202,-3.042019964268403
-0.0071827736184042,-3.027400530198202,-3.042019964268403
-0.0071809236184042,-3.027400530198202,-3.042019964268403
-0.0071790736184042,-3.027400530198202,-3.042019964268403
-0.0071772236184042,-3.027400530198202,-3.042019964268403
-0.0071753736184042,-3.016822549014479,-3.032373474755599
-0.0071735236184042,-3.016822549014479,-3.042019964268401
-0.0071716736184042,-3.027400530198202,-3.042019964268403
-0.0071698236184042,-3.016822549014479,-3.042019964268403
-0.0071679736184042,-3.016822549014479,-3.042019964268403
-0.0071661236184042,-3.016822549014479,-3.042019964268403
