v3	V(vo)
-9.000000000000000e+000	7.495377e+000
-8.500000000000000e+000	7.495353e+000
-8.000000000000000e+000	7.495104e+000
-7.500000000000000e+000	7.452934e+000
-7.000000000000000e+000	6.999624e+000
-6.500000000000000e+000	6.499640e+000
-6.000000000000000e+000	5.999656e+000
-5.500000000000000e+000	5.499671e+000
-5.000000000000000e+000	4.999687e+000
-4.500000000000000e+000	4.499703e+000
-4.000000000000000e+000	3.999719e+000
-3.500000000000000e+000	3.499735e+000
-3.000000000000000e+000	2.999751e+000
-2.500000000000000e+000	2.499766e+000
-2.000000000000000e+000	1.999782e+000
-1.500000000000000e+000	1.499798e+000
-1.000000000000000e+000	9.998136e-001
-5.000000000000000e-001	4.998294e-001
0.000000000000000e+000	-1.548006e-004
5.000000000000000e-001	-5.001390e-001
1.000000000000000e+000	-1.000123e+000
1.500000000000000e+000	-1.500107e+000
2.000000000000000e+000	-2.000092e+000
2.500000000000000e+000	-2.500076e+000
3.000000000000000e+000	-3.000060e+000
3.500000000000000e+000	-3.500044e+000
4.000000000000000e+000	-4.000029e+000
4.500000000000000e+000	-4.500013e+000
5.000000000000000e+000	-4.999997e+000
5.500000000000000e+000	-5.499981e+000
6.000000000000000e+000	-5.999965e+000
6.500000000000000e+000	-6.499949e+000
7.000000000000000e+000	-6.999934e+000
7.500000000000000e+000	-7.499918e+000
8.000000000000000e+000	-7.999902e+000
8.500000000000000e+000	-8.499887e+000
9.000000000000000e+000	-8.953031e+000
