v3	V(vo)
-9.000000000000000e+000	8.998945e-001
-8.500000000000000e+000	8.498951e-001
-8.000000000000000e+000	7.998958e-001
-7.500000000000000e+000	7.498964e-001
-7.000000000000000e+000	6.998970e-001
-6.500000000000000e+000	6.498976e-001
-6.000000000000000e+000	5.998983e-001
-5.500000000000000e+000	5.498989e-001
-5.000000000000000e+000	4.998995e-001
-4.500000000000000e+000	4.499002e-001
-4.000000000000000e+000	3.999008e-001
-3.500000000000000e+000	3.499014e-001
-3.000000000000000e+000	2.999020e-001
-2.500000000000000e+000	2.499027e-001
-2.000000000000000e+000	1.999033e-001
-1.500000000000000e+000	1.499039e-001
-1.000000000000000e+000	9.990452e-002
-5.000000000000000e-001	4.990515e-002
0.000000000000000e+000	-9.422437e-005
5.000000000000000e-001	-5.009360e-002
1.000000000000000e+000	-1.000930e-001
1.500000000000000e+000	-1.500923e-001
2.000000000000000e+000	-2.000917e-001
2.500000000000000e+000	-2.500911e-001
3.000000000000000e+000	-3.000905e-001
3.500000000000000e+000	-3.500898e-001
4.000000000000000e+000	-4.000892e-001
4.500000000000000e+000	-4.500886e-001
5.000000000000000e+000	-5.000880e-001
5.500000000000000e+000	-5.500873e-001
6.000000000000000e+000	-6.000867e-001
6.500000000000000e+000	-6.500861e-001
7.000000000000000e+000	-7.000855e-001
7.500000000000000e+000	-7.500848e-001
8.000000000000000e+000	-8.000842e-001
8.500000000000000e+000	-8.500836e-001
9.000000000000000e+000	-9.000829e-001
