v3	V(vo)
-9.000000000000000e+000	-7.794368e+000
-8.500000000000000e+000	-7.361326e+000
-8.000000000000000e+000	-6.928285e+000
-7.500000000000000e+000	-6.495243e+000
-7.000000000000000e+000	-6.062201e+000
-6.500000000000000e+000	-5.629159e+000
-6.000000000000000e+000	-5.196118e+000
-5.500000000000000e+000	-4.763076e+000
-5.000000000000000e+000	-4.330035e+000
-4.500000000000000e+000	-3.896994e+000
-4.000000000000000e+000	-3.463952e+000
-3.500000000000000e+000	-3.030911e+000
-3.000000000000000e+000	-2.597870e+000
-2.500000000000000e+000	-2.164829e+000
-2.000000000000000e+000	-1.731788e+000
-1.500000000000000e+000	-1.298747e+000
-1.000000000000000e+000	-8.657064e-001
-5.000000000000000e-001	-4.326656e-001
0.000000000000000e+000	3.750350e-004
5.000000000000000e-001	4.334156e-001
1.000000000000000e+000	8.664562e-001
1.500000000000000e+000	1.299497e+000
2.000000000000000e+000	1.732537e+000
2.500000000000000e+000	2.165577e+000
3.000000000000000e+000	2.598618e+000
3.500000000000000e+000	3.031658e+000
4.000000000000000e+000	3.464698e+000
4.500000000000000e+000	3.897738e+000
5.000000000000000e+000	4.330778e+000
5.500000000000000e+000	4.763817e+000
6.000000000000000e+000	5.196857e+000
6.500000000000000e+000	5.629897e+000
7.000000000000000e+000	6.062936e+000
7.500000000000000e+000	6.495976e+000
8.000000000000000e+000	6.929015e+000
8.500000000000000e+000	7.361545e+000
9.000000000000000e+000	7.494459e+000
