v3	V(vo)
-9.000000000000000e+000	-8.996100e+000
-8.500000000000000e+000	-8.996058e+000
-8.000000000000000e+000	-8.996015e+000
-7.500000000000000e+000	-8.995973e+000
-7.000000000000000e+000	-8.995930e+000
-6.500000000000000e+000	-8.995887e+000
-6.000000000000000e+000	-8.995844e+000
-5.500000000000000e+000	-8.995800e+000
-5.000000000000000e+000	-8.995757e+000
-4.500000000000000e+000	-8.995714e+000
-4.000000000000000e+000	-8.995671e+000
-3.500000000000000e+000	-8.995627e+000
-3.000000000000000e+000	-8.995584e+000
-2.500000000000000e+000	-8.995541e+000
-2.000000000000000e+000	-8.995497e+000
-1.500000000000000e+000	-8.995454e+000
-1.000000000000000e+000	-8.660412e+000
-5.000000000000000e-001	-4.332908e+000
0.000000000000000e+000	-4.426537e-004
5.000000000000000e-001	4.329529e+000
1.000000000000000e+000	7.492928e+000
1.500000000000000e+000	7.495237e+000
2.000000000000000e+000	7.495306e+000
2.500000000000000e+000	7.495203e+000
3.000000000000000e+000	7.495203e+000
3.500000000000000e+000	7.495203e+000
4.000000000000000e+000	7.495203e+000
4.500000000000000e+000	7.495203e+000
5.000000000000000e+000	7.495203e+000
5.500000000000000e+000	7.495203e+000
6.000000000000000e+000	7.495203e+000
6.500000000000000e+000	7.495203e+000
7.000000000000000e+000	7.495203e+000
7.500000000000000e+000	7.495203e+000
8.000000000000000e+000	7.495203e+000
8.500000000000000e+000	7.495203e+000
9.000000000000000e+000	7.495203e+000
