Freq.	V(vin)/I(R1)
3.01995172040201e+003	(6.86405782305899e+001dB,-1.78259304241995e+002°)
3.09029543251359e+003	(6.86411620222922e+001dB,-1.78218949887229e+002°)
3.16227766016838e+003	(6.86417731837619e+001dB,-1.78177669214950e+002°)
3.23593656929628e+003	(6.86424129911161e+001dB,-1.78135441618921e+002°)
3.31131121482591e+003	(6.86430827792934e+001dB,-1.78092246081576e+002°)
3.38844156139202e+003	(6.86437839446997e+001dB,-1.78048061169261e+002°)
3.46736850452531e+003	(6.86445179479676e+001dB,-1.78002865027693e+002°)
3.54813389233575e+003	(6.86452863168319e+001dB,-1.77956635377671e+002°)
3.63078054770101e+003	(6.86460906491269e+001dB,-1.77909349511067e+002°)
3.71535229097172e+003	(6.86469326159091e+001dB,-1.77860984287128e+002°)
3.80189396320561e+003	(6.86478139647097e+001dB,-1.77811516129132e+002°)
3.89045144994280e+003	(6.86487365229223e+001dB,-1.77760921021416e+002°)
3.98107170553497e+003	(6.86497022013292e+001dB,-1.77709174506834e+002°)
4.07380277804112e+003	(6.86507129977719e+001dB,-1.77656251684686e+002°)
4.16869383470335e+003	(6.86517710009697e+001dB,-1.77602127209144e+002°)
4.26579518801592e+003	(6.86528783944923e+001dB,-1.77546775288255e+002°)
4.36515832240165e+003	(6.86540374608896e+001dB,-1.77490169683543e+002°)
4.46683592150962e+003	(6.86552505859844e+001dB,-1.77432283710285e+002°)
4.57088189614874e+003	(6.86565202633335e+001dB,-1.77373090238513e+002°)
4.67735141287197e+003	(6.86578490988593e+001dB,-1.77312561694810e+002°)
4.78630092322637e+003	(6.86592398156599e+001dB,-1.77250670064956e+002°)
4.89778819368445e+003	(6.86606952589989e+001dB,-1.77187386897512e+002°)
5.01187233627271e+003	(6.86622184014822e+001dB,-1.77122683308412e+002°)
5.12861383991364e+003	(6.86638123484240e+001dB,-1.77056529986637e+002°)
5.24807460249772e+003	(6.86654803434065e+001dB,-1.76988897201072e+002°)
5.37031796370252e+003	(6.86672257740380e+001dB,-1.76919754808626e+002°)
5.49540873857624e+003	(6.86690521779120e+001dB,-1.76849072263719e+002°)
5.62341325190348e+003	(6.86709632487699e+001dB,-1.76776818629244e+002°)
5.75439937337156e+003	(6.86729628428721e+001dB,-1.76702962589099e+002°)
5.88843655355588e+003	(6.86750549855777e+001dB,-1.76627472462427e+002°)
6.02559586074357e+003	(6.86772438781352e+001dB,-1.76550316219661e+002°)
