Frequency (Hz),Channel 1 Magnitude (dB),Channel 4 Magnitude (dB),Channel 4 Phase (deg)
100000.0000000001,-0.07258525215688054,-8.208641537118822,-22.8510115876004
104712.85480509,-0.07699684479353193,-8.403376035404825,-23.58108449789901
109647.8196143186,-0.07642898891923357,-8.529886986882188,-24.22859592252445
114815.3621496883,-0.05962524149766902,-8.481403515360286,-25.51591492080718
120226.4434617414,-0.05403871332337185,-8.58571723953435,-26.25051428247961
125892.5411794168,-0.05352074126858807,-8.674224131215771,-27.91186585514867
131825.6738556408,-0.05777880330959647,-8.670746578645945,-28.32956507329241
138038.4264602886,-0.05411731766962303,-8.797745514257203,-29.83068594231504
144543.9770745928,-0.04698054374236803,-8.963261097651769,-30.97031694360204
151356.1248436209,-0.05588594515237221,-9.019139900860326,-32.31553713388552
158489.3192461114,-0.07862707588849055,-9.234604320800003,-33.32688190724954
165958.6907437561,-0.0497525716212316,-9.40643340664049,-33.61072522306243
173780.0828749376,-0.05904909987202458,-9.552808184905958,-35.61799188108942
181970.0858609984,-0.05295130854398061,-9.673816859068737,-37.06575220459039
190546.0717963248,-0.05586517444771687,-9.786930261073989,-38.52132914693072
199526.2314968881,-0.04483339963390427,-9.934441640852222,-39.11758938902128
208929.6130854041,-0.05511249336530263,-10.12648698691992,-40.01000343113502
218776.1623949554,-0.04546111392154729,-10.24918388616418,-41.99400171600555
229086.7652767775,-0.045504266269035,-10.47091925130717,-42.6966807606665
239883.2919019491,-0.0390881619026246,-10.62643666577033,-43.33325982444224
251188.6431509581,-0.06340639658603689,-10.85829251770657,-44.99153680548212
263026.7991895383,-0.03874413354884845,-11.15388643718894,-46.61042049450295
275422.8703338167,-0.04262688013610114,-11.24327929274171,-47.61656389884639
288403.1503126607,-0.05414829949461221,-11.5044376976306,-48.22687500958692
301995.1720402018,-0.04877451305391786,-11.70621984777092,-48.73398602894279
316227.7660168381,-0.04391799412878253,-11.99063106676088,-50.75202343785892
331131.1214825913,-0.04563852732319698,-12.12826132649836,-50.72829899544057
346736.8504525319,-0.05556172383175993,-12.3958965131346,-53.92348212426386
363078.0547701016,-0.0478546420783576,-12.60958125653472,-54.17177245305876
380189.3963205615,-0.05557365581015285,-12.76081043573049,-55.41472438342988
398107.1705534973,-0.06608522811522602,-12.97882394120769,-56.52724008044499
416869.3834703355,-0.05861692003861269,-13.3624253201728,-57.5809103009958
436515.8322401661,-0.05853613016808017,-13.75096758047448,-59.99809863800674
457088.1896148752,-0.06007528028866085,-14.08956723408829,-61.14750247560648
478630.0923226385,0.02765884876837423,-14.36413556266206,-63.00144072065483
501187.2336272725,-0.05487309170756164,-14.4953914944201,-62.42271597894414
524807.4602497729,-0.07709382432426684,-14.89414596520968,-64.05438605702982
549540.8738576248,-0.06907906845381254,-15.27949351607091,-65.01169852677293
575439.9373371572,-0.0615578906405981,-15.54770309383915,-65.69229305225521
602559.5860743581,-0.07622530453303109,-15.98456317540179,-67.48416554447527
630957.3444801933,-0.07104101862270569,-16.26763934904882,-68.39589006768016
660693.4480075962,-0.08055525581628541,-16.48887747927978,-68.35323958149829
691830.9709189365,-0.07804659293090263,-16.77660773134945,-69.67943021222813
724435.9600749903,-0.0764307136640934,-17.11136986324927,-70.25602690442888
758577.575029184,-0.08425622225349458,-17.46786635145423,-71.01587225804604
794328.2347242818,-0.08804509113687012,-17.94443524186858,-72.49888054832297
831763.7711026713,-0.09028224741161445,-18.25912707497882,-72.84309357289227
870963.5899560809,-0.100331574317748,-18.66230735593096,-74.45730523178921
912010.8393559101,-0.1238186699786733,-18.76481360229168,-74.53456544047573
954992.5860214365,-0.6873478356689525,-18.9849612429663,-74.58987595034914
1000000,-0.1086232553129999,-19.62785483776171,-75.7696376897028
1047128.5480509,-0.1479435041996585,-20.06644215417841,-76.70402411251256
1096478.196143185,-0.1337653170175077,-20.1844423571527,-75.95839676748012
1148153.621496883,-0.1335703198305308,-20.53752650581162,-77.11568291005496
1202264.434617413,-0.1455684887539084,-20.96882445185688,-79.52085570420438
1258925.411794167,-0.1528541478831832,-21.45282864271939,-79.53799975804297
1318256.738556407,-0.1657821026016553,-21.6843884966945,-81.48139513606877
1380384.264602885,-0.1824372266612727,-22.2451816128419,-82.21542305041326
1445439.770745928,-0.1459924197388056,-22.16036808206647,-81.9696131440318
1513561.248436209,-0.2114692905773699,-22.5237265974964,-83.13997960093658
1584893.192461114,-0.2270780452097564,-22.86805821567605,-84.25398247003385
1659586.907437561,-0.2449198014416621,-23.43234135590945,-84.90098396339107
1737800.828749376,-0.2608306604054146,-23.86214667982869,-86.33136951862463
1819700.858609984,-0.2871485999284555,-24.26722406162644,-87.16702115415754
1905460.717963248,-0.4267398570410063,-24.92181801415076,-87.24033503222256
1995262.31496888,-0.3458681995772903,-24.78332409592331,-89.4935983026766
2089296.13085404,-0.3605443051359936,-25.14754686880273,-91.37102568486469
2187761.623949553,-0.3954917367042075,-25.58775038604022,-92.100843697073
2290867.652767774,-0.4306712029687119,-26.22020379634387,-93.97095847140078
2398832.919019491,-0.4644540667981422,-27.09490004914501,-91.1666832142722
2511886.43150958,-0.5336511577332637,-27.15507909942908,-94.95948141474956
2630267.991895382,-0.5534675064227929,-27.79078806600221,-98.53001921142578
2754228.703338167,-0.6091971541587056,-28.5746995580561,-98.41821445585509
2884031.503126606,-0.6715887807348432,-29.0051964862981,-102.5928556087627
3019951.720402017,-0.7270709153077203,-29.57532663032134,-105.3170909728486
3162277.66016838,-0.7760430377172347,-29.44702931723306,-109.3795847403017
3311311.214825911,-0.8430986055107405,-29.73129389107483,-108.9649820943404
3467368.504525316,-0.9227962730852003,-31.59137924297783,-112.8560838618025
3630780.547701014,-1.014544750560096,-31.71322952647445,-117.9769750083978
3801893.963205613,-1.117830369991055,-33.34870685532738,-117.8611181356759
3981071.705534973,-1.260888385695769,-35.80577243077975,-118.8089579371881
4168693.834703355,-1.297250614404035,-37.24417179539069,-126.5368453931398
4365158.32240166,-1.407338012797995,-39.52094507762148,-130.3930730878841
4570881.896148751,-1.533152023515455,-41.39868519488281,-144.3545712093361
4786300.923226384,-1.653857657451161,-44.16612261116098,-171.8881303009492
5011872.336272722,-1.855620727536077,-47.53663355865785,164.1815315252312
5248074.602497727,-1.977431333043774,-45.34004531400034,123.4283925784188
5495408.738576246,-2.177547487052935,-44.36935762081669,67.85745807041872
5754399.373371569,-2.343269835021021,-41.34719594903264,69.92858435103511
6025595.860743578,-2.532372289437859,-36.95690446187519,52.39185221258911
6309573.444801932,-2.853943397105885,-35.94602615428572,40.70128238189637
6606934.480075961,-2.973174683213357,-35.51917763130306,15.17103927311714
6918309.709189366,-3.205851389923795,-32.21518175667134,18.15943340724857
7244359.600749901,-3.475038898703781,-33.50811726470659,-4.502347072955482
7585775.750291837,-3.784018477032864,-32.11834247738067,-11.48382632585772
7943282.347242814,-4.059373723685693,-31.34784935439302,-22.57284626695311
8317637.71102671,-4.427104510623703,-30.68391648641386,-35.71252316404603
8709635.899560807,-4.764460792106148,-31.25190939318947,-45.51468877073775
9120108.393559098,-5.132050576189092,-30.12895901411303,-55.82686818595304
9549925.86021436,-5.554825832687831,-30.53411629984217,-69.53520173962887
10000000,-6.515297981291621,-29.72244561539339,-58.20243181818653
