Frequency (Hz),Channel 1 Magnitude (dB),Channel 4 Magnitude (dB),Channel 4 Phase (deg)
10000.00000000001,-0.04337639793116328,-9.027920141453308,-0.6166123102751084
10471.28548050901,-0.08247658803413942,-9.090170485006645,-0.5507307321188466
10964.78196143186,-0.004733637658485316,-8.943400403262187,-0.86196092987801
11481.53621496884,-0.1335747553436241,-9.199547014093323,-0.2014811947843632
12022.64434617414,-0.01809522032706915,-8.994225877069706,-0.9204744846574326
12589.25411794169,-0.07805467544812214,-9.089879453291841,-0.1386972439667188
13182.56738556409,-0.06776967575623914,-9.067056685946,-0.2023719165790104
13803.84264602887,-0.1020767407673424,-9.071332966277824,-0.4333855744266257
14454.39770745929,-0.04176258510474935,-9.026990249617633,-0.3776443019161904
15135.61248436209,-0.04179663879024988,-9.000121900822233,-0.6715311242463557
15848.93192461114,-0.04276664563189134,-9.024841167214749,-1.249465771137555
16595.86907437561,-0.05081083134050109,-9.032789507299263,-1.416786558847805
17378.00828749376,-0.07297279416253893,-9.047262790701177,-1.019721570539219
18197.00858609984,-0.05477827067905604,-9.071708949567213,-0.6133771624487421
19054.60717963248,-0.04342916232871772,-8.99719990365138,-0.7712247155580655
19952.62314968881,-0.09143085648115613,-9.111669677312277,-0.6654139096183784
20892.96130854041,-0.07969123926299859,-9.109436045681203,-1.252136413564411
21877.61623949554,-0.0410604875205248,-9.004656753461862,-0.6767210697977969
22908.67652767774,-0.08692540274840439,-9.102569894109465,-1.075150310860511
23988.32919019492,-0.1316001389265412,-9.162666781286473,-0.9298891145210889
25118.86431509582,-0.07012958989650614,-9.075416270292321,-1.013739480131655
26302.67991895384,-0.09938954375065512,-9.109896339404914,-1.026574684159027
27542.28703338169,-0.05865315249283161,-9.044920129303257,-1.265614373390992
28840.31503126608,-0.01761240601629343,-8.979580740095546,-0.665726822013418
30199.51720402019,-0.0703452690672169,-9.042830919561398,-1.122361864743257
31622.77660168382,-0.1033399935231061,-9.146732571729007,-1.624968465413833
33113.11214825914,-0.0386583086015571,-9.037836585478237,-1.672193963363289
34673.6850452532,-0.03271799222488448,-9.033730672779512,-1.748689685184309
36307.80547701017,-0.06904110306632512,-9.04686440641543,-1.889165529520121
38018.93963205616,-0.04420088569089518,-8.995206840768613,-1.728473420846483
39810.71705534973,-0.01441275471651563,-8.989453580752429,-1.509910340562476
41686.93834703355,-0.0693616066615364,-9.073711913892653,-2.099240415525514
43651.58322401661,-0.04853220140004979,-9.05669318310551,-1.668305549265869
45708.81896148752,-0.07651500247399289,-9.082668665383306,-1.24818658038552
47863.00923226385,-0.06866962947292758,-9.057513509124027,-2.291490129772474
50118.72336272724,-0.08771827658312367,-9.073250005111644,-1.718146368910602
52480.74602497728,-0.1440378689373828,-9.177766410102757,-2.166662005028854
54954.08738576248,-0.08416472263159881,-9.081211667205229,-2.906860179462379
57543.99373371572,-0.1162115171385418,-9.186668260827323,-2.271111029609515
60255.95860743582,-0.09256149969133323,-9.104176957332223,-2.962093906886468
63095.73444801936,-0.08700489862401425,-9.106674252027386,-2.93054161673776
66069.34480075965,-0.06739781850516331,-9.091210613439632,-2.90111926570842
69183.09709189369,-0.08636881480285666,-9.103204696761216,-3.299999972309172
72443.59600749906,-0.07838654539823176,-9.11578553499154,-3.310837390465881
75857.75750291844,-0.08288190489279491,-9.136211840280017,-3.361077625607188
79432.82347242821,-0.07778562998002776,-9.156527547168041,-3.529946950183207
83176.37711026717,-0.01724282669883682,-9.055096052329677,-3.690199583311414
87096.35899560816,-0.03453742230213259,-9.054465454468165,-3.395456452404482
91201.08393559106,-0.06225958584830334,-9.061015330770767,-3.851622519111792
95499.25860214369,-0.05468749438982928,-9.072543312648355,-4.308228365020693
100000.0000000001,-0.06515526266619581,-9.106310324869352,-4.3268895128023
104712.85480509,-0.04103916672050206,-9.041366918082387,-4.393887731378544
109647.8196143186,-0.05487715147374681,-9.073458649198013,-4.889778584937035
114815.3621496883,-0.057043930449823,-9.079747017160745,-4.669162302274992
120226.4434617414,-0.03362965381869214,-9.076691057819939,-5.253784190049152
125892.5411794168,-0.035419412150391,-9.115302219148489,-5.090830115191333
131825.6738556408,-0.05643147005746044,-9.083009223340257,-5.460353946393504
138038.4264602886,-0.05573094409296044,-9.100394812517003,-5.677055421186354
144543.9770745928,-0.05498732478645141,-9.105471654701349,-6.09390474143198
151356.1248436209,-0.05339878157334028,-9.089463696826776,-6.259591401378868
158489.3192461114,-0.05640735429731002,-9.114506882950742,-6.647374533371741
165958.6907437561,-0.05370814241580192,-9.130322983502674,-7.030342230788265
173780.0828749376,-0.05130702541481873,-9.14301237727099,-7.243297460079348
181970.0858609984,-0.04748300091272339,-9.141295057092725,-7.484206856145581
190546.0717963248,-0.04859808577152167,-9.129023889661676,-7.913017881246867
199526.2314968881,-0.04411029864163971,-9.152715009469631,-8.240664814155057
208929.6130854041,-0.05552926939423161,-9.148163343358705,-8.582066195673738
218776.1623949554,-0.05288168005490959,-9.162255942083791,-9.042298849858577
229086.7652767775,-0.05518250734795557,-9.168543715476622,-9.358600749532885
239883.2919019491,-0.04885843337572667,-9.168489991633601,-9.751268891036815
251188.6431509581,-0.05167510858395259,-9.190137373515437,-10.20216895406778
263026.7991895383,-0.04127019946307646,-9.178640352217572,-10.5924885430506
275422.8703338167,-0.05162025602761478,-9.210676290282892,-11.06230159190664
288403.1503126607,-0.03991351027825019,-9.241858778375777,-11.57305104356947
301995.1720402018,-0.03131991556136796,-9.231957580099545,-12.1781378451174
316227.7660168381,-0.03709334235285113,-9.189173104355204,-12.63021658689587
331131.1214825913,-0.04421660452071868,-9.217875647080634,-13.45096017365655
346736.8504525319,-0.03423543573236725,-9.218626669332423,-13.92055329227741
363078.0547701016,-0.0487186166514926,-9.24793187352784,-14.82926890980943
380189.3963205615,-0.04136123849930649,-9.294180918241029,-15.66894196420722
398107.1705534973,-0.05353501178306913,-9.311912069907965,-16.62926370578336
416869.3834703355,-0.05029102989521796,-9.367686137195452,-17.18872840317857
436515.8322401661,-0.06143990216557919,-9.406253331396517,-18.13346977413379
457088.1896148752,-0.04299318824469105,-9.46351617103007,-18.75055557407818
478630.0923226385,-0.08780266746621877,-9.53490804039447,-19.83244799396074
501187.2336272725,-0.06695808430743026,-9.524927273258935,-20.44893104178577
524807.4602497729,-0.07187039749835122,-9.569427546800764,-21.17950507242431
549540.8738576248,-0.06766395517576962,-9.627656368825058,-22.12144806932685
575439.9373371572,-0.05237774945055998,-9.713156019619904,-23.056170257209
602559.5860743581,-0.06517661379115522,-9.774958596063179,-24.11582367534051
630957.3444801933,-0.07042265586982505,-9.827703340496871,-24.95458000406725
660693.4480075962,-0.06709439540863273,-9.875088648596853,-26.03704692599533
691830.9709189365,-0.06932527767592571,-9.972239566148124,-27.26260564238192
724435.9600749903,-0.07832690255816123,-10.03353132868668,-28.24624477067938
758577.575029184,-0.08887572088884042,-10.13653615195184,-29.24683327413267
794328.2347242818,-0.06930062944078541,-10.24166876747506,-30.45030197875079
831763.7711026713,-0.08700443905766329,-10.32901075327251,-31.64865066472851
870963.5899560809,-0.08464661647900662,-10.42364911412822,-32.8772870314363
912010.8393559101,-0.08940592931835374,-10.516580082818,-34.15244527690056
954992.5860214365,-0.4688864543412438,-10.67775393505254,-35.51608668617077
1000000,-0.1048046683522278,-10.78395457192098,-36.73167530841942
1047128.5480509,-0.1436220323551528,-10.88885501990994,-37.95495614296427
1096478.196143185,-0.1341015708360913,-11.05444577198123,-39.39973242247054
1148153.621496883,-0.1290798915090526,-11.13573658723674,-40.64636569558642
1202264.434617413,-0.1438778505279833,-11.34404545560164,-42.10984163679247
1258925.411794167,-0.1575657358124797,-11.49780571797523,-43.66097419767369
1318256.738556407,-0.1683375737618786,-11.70270243088181,-45.09181725921763
1380384.264602885,-0.1767167296903896,-11.83226604097274,-46.46832942887125
1445439.770745928,-0.1786338107557046,-12.04846138012695,-47.94661223838212
1513561.248436209,-0.2113287157073573,-12.16892947772382,-49.259853282753
1584893.192461114,-0.2346941228184977,-12.45854122890112,-50.81724142534215
1659586.907437561,-0.2429145638334542,-12.68116556647066,-52.49845849744622
1737800.828749376,-0.260352445207602,-12.82410085890263,-53.7066944194416
1819700.858609984,-0.2797860827045185,-13.10273210520253,-55.37082167538835
1905460.717963248,-0.1079289237695473,-13.35248789205164,-56.5967551959498
1995262.31496888,-0.3380202864328116,-13.62311420614825,-58.57229469345514
2089296.13085404,-0.3536571882722631,-13.93100534276621,-60.12254250732668
2187761.623949553,-0.3898834417430003,-14.18127257983872,-61.39628249513564
2290867.652767774,-0.4246050133102982,-14.39777517013134,-62.89289884196631
2398832.919019491,-0.4594846401558385,-14.6610507564247,-64.16822809818454
2511886.43150958,-0.5248421878917265,-14.9941537293184,-65.77894219702139
2630267.991895382,-0.5503206413116081,-15.40860924632037,-67.76512233300679
2754228.703338167,-0.5971664302681013,-15.73180969932105,-69.01205196504165
2884031.503126606,-0.6643185577117491,-15.9861210053649,-70.57549402499515
3019951.720402017,-0.7340121952223752,-16.40525290147819,-72.04148943870739
3162277.66016838,-0.7746844611970289,-16.78032696430768,-73.47910819551713
3311311.214825911,-0.849060255439275,-17.17778964717219,-75.10176903204557
3467368.504525316,-0.9194116102687816,-17.41922349592358,-77.00183447523737
3630780.547701014,-1.013352364896769,-17.97483922636282,-78.27498552428125
3801893.963205613,-1.074713543606155,-18.24547003116783,-80.40492073029287
3981071.705534973,-1.23902525713746,-19.04040810304718,-81.37050323968188
4168693.834703355,-1.289032014880166,-19.20693255000362,-84.06998402667266
4365158.32240166,-1.398891950374677,-19.99585310724806,-83.57125120401845
4570881.896148751,-1.53639139933535,-20.55167891673155,-86.97144638555535
4786300.923226384,-1.661310731528229,-21.10703021483328,-89.2072460503631
5011872.336272722,-1.833578788366399,-21.86654145765661,-86.64661985540023
5248074.602497727,-1.974941261456233,-22.68269234926344,-88.94384758391031
5495408.738576246,-2.155200666313217,-23.18722490140298,-87.57506573298896
5754399.373371569,-2.320363439887694,-24.59586019301867,-91.83965262388411
6025595.860743578,-2.508729007497774,-24.62916994679453,-85.45767577453226
6309573.444801932,-2.841205921680466,-25.80400358847665,-81.78644324080815
6606934.480075961,-2.95223326589426,-25.83317199022479,-82.33096078885045
6918309.709189366,-3.205007117458119,-26.04414503936648,-77.68793367051371
7244359.600749901,-3.47826504164566,-26.11490318650936,-70.93610060435532
7585775.750291837,-3.771944784933885,-25.61097892305665,-68.82330947290508
7943282.347242814,-4.078603152054476,-25.61768305208491,-72.10060724402557
8317637.71102671,-4.424521942547134,-25.28382366057772,-71.9062272692297
8709635.899560807,-4.772850269250116,-25.09369663474163,-75.08706276002252
9120108.393559098,-5.117265139969256,-24.45750277724931,-75.1018312110882
9549925.86021436,-5.538204861756252,-24.64961430986478,-83.67717315324502
10000000,-6.231008366729979,-24.52419185994029,-108.5568094349449
