Freq.	V(vin)/I(V1)
1.00000000000000e+003	(6.78890836926461e+001dB,1.45712466073546e+002°)
1.02329299228075e+003	(6.78206684985392e+001dB,1.45114245860534e+002°)
1.04712854805090e+003	(6.77501643054733e+001dB,1.44512247703406e+002°)
1.07151930523761e+003	(6.76775424426967e+001dB,1.43906762572417e+002°)
1.09647819614319e+003	(6.76027759318535e+001dB,1.43298091722594e+002°)
1.12201845430196e+003	(6.75258395878448e+001dB,1.42686546163542e+002°)
1.14815362149688e+003	(6.74467101147240e+001dB,1.42072446076406e+002°)
1.17489755493953e+003	(6.73653661958735e+001dB,1.41456120180274e+002°)
1.20226443461741e+003	(6.72817885777402e+001dB,1.40837905050841e+002°)
1.23026877081238e+003	(6.71959601464427e+001dB,1.40218144394641e+002°)
1.25892541179417e+003	(6.71078659966082e+001dB,1.39597188282674e+002°)
1.28824955169313e+003	(6.70174934918521e+001dB,1.38975392347678e+002°)
1.31825673855641e+003	(6.69248323163785e+001dB,1.38353116949751e+002°)
1.34896288259165e+003	(6.68298745172470e+001dB,1.37730726315361e+002°)
1.38038426460288e+003	(6.67326145369324e+001dB,1.37108587655127e+002°)
1.41253754462275e+003	(6.66330492358850e+001dB,1.36487070265992e+002°)
1.44543977074593e+003	(6.65311779048869e+001dB,1.35866544623618e+002°)
1.47910838816821e+003	(6.64270022670930e+001dB,1.35247381470932e+002°)
1.51356124843621e+003	(6.63205264697326e+001dB,1.34629950908836e+002°)
1.54881661891248e+003	(6.62117570655469e+001dB,1.34014621495045e+002°)
1.58489319246111e+003	(6.61007029841247e+001dB,1.33401759356951e+002°)
1.62181009735893e+003	(6.59873754933890e+001dB,1.32791727324242e+002°)
1.65958690743756e+003	(6.58717881515745e+001dB,1.32184884086771e+002°)
1.69824365246174e+003	(6.57539567501128e+001dB,1.31581583382909e+002°)
1.73780082874937e+003	(6.56338992479196e+001dB,1.30982173223232e+002°)
1.77827941003892e+003	(6.55116356976434e+001dB,1.30386995154042e+002°)
1.81970085860998e+003	(6.53871881644931e+001dB,1.29796383564754e+002°)
1.86208713666287e+003	(6.52605806383143e+001dB,1.29210665042707e+002°)
1.90546071796325e+003	(6.51318389396220e+001dB,1.28630157778488e+002°)
1.94984459975804e+003	(6.50009906203324e+001dB,1.28055171024306e+002°)
1.99526231496888e+003	(6.48680648599539e+001dB,1.27486004607435e+002°)
2.04173794466953e+003	(6.47330923580137e+001dB,1.26922948500231e+002°)
2.08929613085404e+003	(6.45961052234967e+001dB,1.26366282447669e+002°)
2.13796208950223e+003	(6.44571368620686e+001dB,1.25816275652877e+002°)
2.18776162394955e+003	(6.43162218618419e+001dB,1.25273186520610e+002°)
2.23872113856834e+003	(6.41733958784185e+001dB,1.24737262458172e+002°)
2.29086765276777e+003	(6.40286955199194e+001dB,1.24208739732855e+002°)
2.34422881531992e+003	(6.38821582326701e+001dB,1.23687843384534e+002°)
2.39883291901949e+003	(6.37338221881781e+001dB,1.23174787191760e+002°)
2.45470891568503e+003	(6.35837261719886e+001dB,1.22669773689302e+002°)
2.51188643150958e+003	(6.34319094749605e+001dB,1.22172994234865e+002°)
2.57039578276886e+003	(6.32784117874531e+001dB,1.21684629122460e+002°)
2.63026799189538e+003	(6.31232730968636e+001dB,1.21204847739714e+002°)
2.69153480392691e+003	(6.29665335889023e+001dB,1.20733808766258e+002°)
2.75422870333816e+003	(6.28082335529401e+001dB,1.20271660410237e+002°)
2.81838293126445e+003	(6.26484132917120e+001dB,1.19818540679921e+002°)
2.88403150312660e+003	(6.24871130356090e+001dB,1.19374577687350e+002°)
2.95120922666638e+003	(6.23243728617435e+001dB,1.18939889980983e+002°)
3.01995172040201e+003	(6.21602326179264e+001dB,1.18514586904330e+002°)
3.09029543251359e+003	(6.19947318516508e+001dB,1.18098768977636e+002°)
3.16227766016838e+003	(6.18279097441374e+001dB,1.17692528299763e+002°)
3.23593656929628e+003	(6.16598050494598e+001dB,1.17295948967533e+002°)
3.31131121482591e+003	(6.14904560387336e+001dB,1.16909107509932e+002°)
3.38844156139202e+003	(6.13199004493241e+001dB,1.16532073334717e+002°)
3.46736850452531e+003	(6.11481754390000e+001dB,1.16164909185124e+002°)
3.54813389233575e+003	(6.09753175449398e+001dB,1.15807671604554e+002°)
3.63078054770101e+003	(6.08013626474750e+001dB,1.15460411407278e+002°)
3.71535229097172e+003	(6.06263459384427e+001dB,1.15123174153387e+002°)
3.80189396320561e+003	(6.04503018940038e+001dB,1.14796000626391e+002°)
3.89045144994280e+003	(6.02732642517761e+001dB,1.14478927312059e+002°)
3.98107170553497e+003	(6.00952659921258e+001dB,1.14171986877250e+002°)
4.07380277804112e+003	(5.99163393234551e+001dB,1.13875208647702e+002°)
4.16869383470335e+003	(5.97365156713266e+001dB,1.13588619083864e+002°)
4.26579518801592e+003	(5.95558256712636e+001dB,1.13312242254064e+002°)
4.36515832240165e+003	(5.93742991650718e+001dB,1.13046100304445e+002°)
4.46683592150962e+003	(5.91919652005355e+001dB,1.12790213925251e+002°)
4.57088189614874e+003	(5.90088520343456e+001dB,1.12544602813208e+002°)
4.67735141287197e+003	(5.88249871381323e+001dB,1.12309286129845e+002°)
4.78630092322637e+003	(5.86403972074839e+001dB,1.12084282955764e+002°)
4.89778819368445e+003	(5.84551081738489e+001dB,1.11869612740959e+002°)
5.01187233627271e+003	(5.82691452192327e+001dB,1.11665295751415e+002°)
5.12861383991364e+003	(5.80825327936177e+001dB,1.11471353512288e+002°)
5.24807460249772e+003	(5.78952946350541e+001dB,1.11287809248095e+002°)
5.37031796370252e+003	(5.77074537923875e+001dB,1.11114688320387e+002°)
5.49540873857624e+003	(5.75190326506113e+001dB,1.10952018663493e+002°)
5.62341325190348e+003	(5.73300529588531e+001dB,1.10799831218940e+002°)
5.75439937337156e+003	(5.71405358610302e+001dB,1.10658160369241e+002°)
5.88843655355588e+003	(5.69505019292309e+001dB,1.10527044371789e+002°)
6.02559586074357e+003	(5.67599711999097e+001dB,1.10406525793600e+002°)
6.16595001861481e+003	(5.65689632130083e+001dB,1.10296651947702e+002°)
6.30957344480192e+003	(5.63774970541468e+001dB,1.10197475331977e+002°)
6.45654229034654e+003	(5.61855914000620e+001dB,1.10109054071238e+002°)
6.60693448007595e+003	(5.59932645674998e+001dB,1.10031452363360e+002°)
6.76082975391980e+003	(5.58005345658097e+001dB,1.09964740930206e+002°)
6.91830970918935e+003	(5.56074191535221e+001dB,1.09908997474087e+002°)
7.07945784384136e+003	(5.54139358992347e+001dB,1.09864307140434e+002°)
7.24435960074989e+003	(5.52201022471737e+001dB,1.09830762987254e+002°)
7.41310241300916e+003	(5.50259355878431e+001dB,1.09808466461887e+002°)
7.58577575029182e+003	(5.48314533342254e+001dB,1.09797527885433e+002°)
7.76247116628690e+003	(5.46366730040464e+001dB,1.09798066945056e+002°)
7.94328234724280e+003	(5.44416123086765e+001dB,1.09810213194239e+002°)
8.12830516164097e+003	(5.42462892492956e+001dB,1.09834106560785e+002°)
8.31763771102669e+003	(5.40507222210164e+001dB,1.09869897862154e+002°)
8.51138038202374e+003	(5.38549301257237e+001dB,1.09917749327391e+002°)
8.70963589956079e+003	(5.36589324944605e+001dB,1.09977835124559e+002°)
8.91250938133744e+003	(5.34627496202671e+001dB,1.10050341892170e+002°)
9.12010839355908e+003	(5.32664027024559e+001dB,1.10135469272648e+002°)
9.33254300796989e+003	(5.30699140033898e+001dB,1.10233430445275e+002°)
9.54992586021434e+003	(5.28733070189196e+001dB,1.10344452655473e+002°)
9.77237220955809e+003	(5.26766066637245e+001dB,1.10468777736550e+002°)
9.99999999999998e+003	(5.24798394728982e+001dB,1.10606662619221e+002°)
1.02329299228075e+004	(5.22830338212200e+001dB,1.10758379823310e+002°)
1.04712854805090e+004	(5.20862201616569e+001dB,1.10924217925044e+002°)
1.07151930523760e+004	(5.18894312847519e+001dB,1.11104481992208e+002°)
1.09647819614318e+004	(5.16927026006729e+001dB,1.11299493978247e+002°)
1.12201845430196e+004	(5.14960724458283e+001dB,1.11509593065056e+002°)
1.14815362149688e+004	(5.12995824161056e+001dB,1.11735135942868e+002°)
1.17489755493953e+004	(5.11032777289720e+001dB,1.11976497014148e+002°)
1.20226443461741e+004	(5.09072076169082e+001dB,1.12234068507015e+002°)
1.23026877081238e+004	(5.07114257549646e+001dB,1.12508260482216e+002°)
1.25892541179416e+004	(5.05159907256761e+001dB,1.12799500716307e+002°)
1.28824955169313e+004	(5.03209665252435e+001dB,1.13108234442340e+002°)
1.31825673855640e+004	(5.01264231158982e+001dB,1.13434923927923e+002°)
1.34896288259165e+004	(4.99324370309398e+001dB,1.13780047868765e+002°)
1.38038426460288e+004	(4.97390920413752e+001dB,1.14144100572824e+002°)
1.41253754462275e+004	(4.95464798969166e+001dB,1.14527590904336e+002°)
1.44543977074592e+004	(4.93547011600540e+001dB,1.14931040944338e+002°)
1.47910838816820e+004	(4.91638661611464e+001dB,1.15354984297122e+002°)
1.51356124843620e+004	(4.89740961164969e+001dB,1.15799963914443e+002°)
1.54881661891248e+004	(4.87855244719983e+001dB,1.16266529189836e+002°)
1.58489319246111e+004	(4.85982985633548e+001dB,1.16755231832943e+002°)
1.62181009735893e+004	(4.84125817177456e+001dB,1.17266619552924e+002°)
1.65958690743756e+004	(4.82285559467777e+001dB,1.17801225655394e+002°)
1.69824365246174e+004	(4.80464253487522e+001dB,1.18359550962586e+002°)
1.73780082874937e+004	(4.78664201187705e+001dB,1.18942031624569e+002°)
1.77827941003892e+004	(4.76888003522636e+001dB,1.19548982476050e+002°)
1.81970085860998e+004	(4.75138570487857e+001dB,1.20180502975117e+002°)
1.86208713666286e+004	(4.73419042814697e+001dB,1.20836340712150e+002°)
1.90546071796324e+004	(4.71732524628043e+001dB,1.21515747985351e+002°)
1.94984459975804e+004	(4.70081552693748e+001dB,1.22217462031391e+002°)
1.99526231496887e+004	(4.68467474258810e+001dB,1.22940030380556e+002°)
2.04173794466952e+004	(4.66890355220476e+001dB,1.23682544471543e+002°)
2.08929613085403e+004	(4.65350014992073e+001dB,1.24445293245557e+002°)
2.13796208950222e+004	(4.63847641629842e+001dB,1.25229583169433e+002°)
2.18776162394954e+004	(4.62386530836380e+001dB,1.26036771563096e+002°)
2.23872113856833e+004	(4.60971477415895e+001dB,1.26867408655879e+002°)
2.29086765276777e+004	(4.59607716042402e+001dB,1.27721027149632e+002°)
2.34422881531991e+004	(4.58300237826081e+001dB,1.28596366266185e+002°)
2.39883291901948e+004	(4.57053580149550e+001dB,1.29491656727906e+002°)
2.45470891568502e+004	(4.55871857432926e+001dB,1.30404803751660e+002°)
2.51188643150957e+004	(4.54758844505445e+001dB,1.31333467880074e+002°)
2.57039578276885e+004	(4.53718035202538e+001dB,1.32275087005989e+002°)
2.63026799189537e+004	(4.52752662082227e+001dB,1.33226874357730e+002°)
2.69153480392691e+004	(4.51865684775119e+001dB,1.34185811513201e+002°)
2.75422870333816e+004	(4.51059757776366e+001dB,1.35148645060877e+002°)
2.81838293126444e+004	(4.50337186518896e+001dB,1.36111890195322e+002°)
2.88403150312660e+004	(4.49699878086945e+001dB,1.37071842141334e+002°)
2.95120922666637e+004	(4.49149291084323e+001dB,1.38024595284204e+002°)
3.01995172040200e+004	(4.48686387970425e+001dB,1.38966069434776e+002°)
3.09029543251358e+004	(4.48311592395058e+001dB,1.39892042418851e+002°)
3.16227766016837e+004	(4.48024753503543e+001dB,1.40798188013427e+002°)
3.23593656929627e+004	(4.47825118719402e+001dB,1.41680118117121e+002°)
3.31131121482590e+004	(4.47711316075876e+001dB,1.42533427937187e+002°)
3.38844156139201e+004	(4.47681346733161e+001dB,1.43353742911064e+002°)
3.46736850452530e+004	(4.47732587884836e+001dB,1.44136766067346e+002°)
3.54813389233574e+004	(4.47861805838912e+001dB,1.44878324575567e+002°)
