Frequency (Hz),Trace Vrms (V)
1000.000000000001,0.3528359224886083
1047.128548050901,0.352689840049709
1096.478196143186,0.3526875832741707
1148.153621496884,0.3524979965212026
1202.264434617413,0.3522316534660178
1258.925411794169,0.3523004380575256
1318.256738556409,0.3520662829527904
1380.384264602885,0.3519706128058509
1445.43977074593,0.3518095091639868
1513.56124843621,0.3516616700566891
1584.893192461114,0.3514258506703015
1659.586907437563,0.35130343657781
1737.800828749376,0.3511208765842855
1819.700858609984,0.3510735174746576
1905.46071796325,0.350924291366747
1995.262314968881,0.3507946456939763
2089.296130854041,0.3505042700562498
2187.761623949554,0.3503721801506336
2290.867652767774,0.3503154115304713
2398.832919019493,0.3501384541862753
2511.886431509582,0.3499487670097507
2630.267991895385,0.3497474973410885
2754.228703338169,0.3497349057996325
2884.031503126609,0.3495969795131733
3019.951720402019,0.3493987025649603
3162.277660168382,0.3491889848299503
3311.311214825914,0.3491507148688205
3467.368504525317,0.3489409725415626
3630.780547701017,0.3488022955912261
3801.893963205617,0.3486314755389331
3981.071705534973,0.3483814321986022
4168.693834703359,0.3483367760082055
4365.158322401665,0.3480415774376933
4570.881896148752,0.3480168027811303
4786.300923226389,0.3478295401373116
5011.87233627273,0.3475444157163084
5248.074602497728,0.3472747477309001
5495.408738576254,0.3471082157295591
5754.399373371578,0.3467263424773591
6025.59586074358,0.3464087182630544
6309.573444801937,0.346058806048872
6606.934480075965,0.3457214214505578
6918.30970918937,0.345134320508854
7244.359600749906,0.3446982208871714
7585.775750291844,0.3439669553834828
7943.282347242821,0.343227712682433
8317.637711026719,0.3426824955081235
8709.635899560815,0.3416144451972758
9120.108393559105,0.3406470197311997
9549.925860214369,0.339283251515287
10000,0.3377443496447009
10471.28548050901,0.3360036505452094
10964.78196143186,0.3340345181609838
11481.53621496883,0.3316888912459493
12022.64434617414,0.3288504431660452
12589.25411794168,0.3256347444277141
13182.56738556407,0.3219165305783872
13803.84264602886,0.3176602068022709
14454.39770745929,0.3129110028178673
15135.61248436209,0.3077591573856985
15848.93192461115,0.3019308122268771
16595.86907437562,0.295665514543316
17378.00828749376,0.2889431647982686
18197.00858609984,0.2821105522850117
19054.60717963249,0.2750110635862642
19952.62314968881,0.267995422828419
20892.96130854039,0.2610200812158818
21877.61623949554,0.2541674148421942
22908.67652767775,0.2477020028320482
23988.32919019491,0.2414959716970963
25118.86431509582,0.2355005739772387
26302.67991895384,0.2299250671118805
27542.28703338168,0.2248603583049747
28840.31503126608,0.2199885771983699
30199.51720402019,0.2156305643872832
31622.77660168381,0.2115043801138458
33113.11214825913,0.2078628495227567
34673.68504525317,0.2045738131848331
36307.80547701016,0.2015285936913182
38018.93963205612,0.1988313112945063
39810.71705534973,0.1962932052883156
41686.93834703357,0.1941635566071986
43651.58322401661,0.1923313822377591
45708.81896148752,0.1906503460011939
47863.00923226388,0.1892505681554511
50118.72336272725,0.1878960873004477
52480.74602497728,0.1869775340967508
54954.08738576245,0.1858595871606385
57543.99373371572,0.1852214620164491
60255.95860743581,0.1845882207453653
63095.73444801933,0.1841135202923087
66069.34480075965,0.1835575676116147
69183.09709189367,0.1833702474323452
72443.59600749903,0.1831089572634042
75857.75750291844,0.1829980227921983
79432.82347242818,0.1828857608517348
83176.37711026713,0.1828306797896631
87096.35899560805,0.1826968528058188
91201.08393559101,0.1827716503131853
95499.25860214364,0.182709804019347
100000,0.1828573894988463
104712.85480509,0.1828446408719798
109647.8196143186,0.18262002905644
114815.3621496883,0.1826749722115785
120226.4434617413,0.1827595638880181
125892.5411794167,0.1825496587277642
131825.6738556407,0.1825683064927647
138038.4264602886,0.1825621444244253
144543.9770745928,0.1826825896002481
151356.1248436209,0.1825545078345978
158489.3192461114,0.1825787828071939
165958.6907437561,0.1826040923568122
173780.0828749376,0.1825963716451389
181970.0858609984,0.1826448771807436
190546.0717963248,0.1826779124076293
199526.2314968881,0.1827066886326173
208929.613085404,0.1827727911073912
218776.1623949553,0.1829090455507777
229086.7652767773,0.1829827810313255
239883.2919019491,0.1828225110364589
251188.6431509582,0.1831832005021662
263026.7991895382,0.1831357441039559
275422.8703338167,0.1832696071362318
288403.1503126606,0.183521943802308
301995.1720402017,0.1836382467023207
316227.766016838,0.1838283544470906
331131.121482591,0.1839888936571221
346736.8504525317,0.1841492381300055
363078.0547701015,0.1845431906891837
380189.3963205612,0.1848272411024739
398107.1705534974,0.1851761734671494
416869.3834703353,0.1855000316239224
436515.832240166,0.1859875673211125
457088.1896148752,0.1862400589746147
478630.0923226383,0.1872612477256243
501187.2336272725,0.1873508937814002
524807.4602497725,0.1879710036949341
549540.8738576246,0.1884486905188401
575439.9373371572,0.1891671336528754
602559.5860743576,0.189805059954772
630957.3444801933,0.190541528727891
660693.4480075957,0.1913646786613369
691830.9709189365,0.1922214022125394
724435.9600749902,0.1931226239227686
758577.5750291836,0.1942165645768718
794328.2347242816,0.1952506397433846
831763.7711026713,0.1963800695803408
870963.5899560805,0.1976775647434713
912010.8393559098,0.1988975602215881
954992.5860214357,0.1980314366487151
1000000,0.2018890461687143
