Frequency (Hz),Zin
1000,2707.727801
1047.128548,2708.26487
1096.478196,2709.040374
1148.153621,2709.298241
1202.264435,2710.691004
1258.925412,2712.05238
1318.256739,2713.095033
1380.384265,2713.47794
1445.439771,2714.168967
1513.561248,2716.128504
1584.893192,2716.265483
1659.586907,2717.097773
1737.800829,2718.61522
1819.700859,2719.838529
1905.460718,2720.207826
1995.262315,2721.046093
2089.296131,2722.670389
2187.761624,2723.550532
2290.867653,2724.284773
2398.832919,2725.555833
2511.886432,2726.01946
2630.267992,2726.468669
2754.228703,2726.669013
2884.031503,2727.974394
3019.95172,2728.15321
3162.27766,2728.908488
3311.311215,2729.281488
3467.368505,2728.761292
3630.780548,2730.999274
3801.893963,2731.891182
3981.071706,2731.276206
4168.693835,2731.803504
4365.158322,2733.539716
4570.881896,2732.76653
4786.300923,2732.385009
5011.872336,2733.391804
5248.074602,2734.264628
5495.408739,2735.419266
5754.399373,2734.927582
6025.595861,2733.939615
6309.573445,2734.041635
6606.93448,2733.603408
6918.309709,2731.318602
7244.359601,2735.719129
7585.77575,2735.660244
7943.282347,2735.253196
8317.637711,2734.97369
8709.6359,2734.714029
9120.108394,2735.884597
9549.92586,2735.175418
10000,2735.800395
10471.28548,2735.118025
10964.78196,2735.403707
11481.53621,2735.166417
12022.64435,2735.991645
12589.25412,2736.156844
13182.56739,2736.795048
13803.84265,2736.156702
14454.39771,2736.606004
15135.61248,2736.274152
15848.93192,2737.757733
16595.86907,2737.738629
17378.00829,2737.092963
18197.00859,2736.726553
19054.60718,2736.629243
19952.62315,2736.256023
20892.96131,2736.202504
21877.61624,2737.482369
22908.67653,2736.458961
23988.32919,2737.000274
25118.86432,2735.642567
26302.67992,2736.743607
27542.28703,2736.427281
28840.31503,2736.889252
30199.5172,2736.864512
31622.7766,2736.738857
33113.11215,2736.578752
34673.68505,2735.492884
36307.80548,2736.576861
38018.93963,2736.433948
39810.71706,2737.408599
41686.93835,2736.516469
43651.58322,2737.250476
45708.81896,2735.335139
47863.00923,2736.921434
50118.72336,2737.521879
52480.74602,2736.92946
54954.08739,2736.685498
57543.99373,2736.82734
60255.95861,2736.267396
63095.73445,2736.889567
66069.3448,2736.04399
69183.09709,2736.568802
72443.59601,2736.331769
75857.7575,2736.265847
79432.82347,2734.039356
83176.37711,2733.896908
87096.359,2733.77144
91201.08394,2733.511658
95499.2586,2733.944465
100000,2734.170195
104712.8548,2733.065393
109647.8196,2734.119904
114815.3621,2732.60473
120226.4435,2732.004041
125892.5412,2732.177747
131825.6739,2731.598053
138038.4265,2731.551165
144543.9771,2731.176273
151356.1248,2731.190908
158489.3192,2731.104618
165958.6907,2731.369501
173780.0829,2730.406421
181970.0859,2729.942324
190546.0718,2730.187276
199526.2315,2729.250295
208929.6131,2729.504226
218776.1624,2728.358819
229086.7653,2728.887903
239883.2919,2727.622837
251188.6432,2727.34692
263026.7992,2726.713358
275422.8703,2725.927446
288403.1503,2724.976374
301995.172,2724.253926
316227.766,2723.453152
331131.1215,2723.728601
346736.8505,2723.265949
363078.0548,2723.624065
380189.3963,2724.597066
398107.1706,2725.497743
416869.3835,2726.883174
436515.8322,2730.961594
457088.1896,2736.114216
478630.0923,2747.839283
501187.2336,2740.044626
524807.4602,2879.846581
549540.8739,3039.771985
575439.9373,3186.779575
602559.5861,3295.296017
630957.3445,3371.896476
660693.448,3420.956106
691830.9709,3444.2671
724435.9601,3451.756011
758577.575,3437.205093
794328.2347,3414.842563
831763.7711,3380.256728
870963.59,3338.767583
912010.8394,3298.282331
954992.586,3268.117704
1000000,3199.353039
