Input,Output
-9,7.55
-8.5,7.55
-8,7.55
-7.5,7.47
-7,6.97
-6.5,6.47
-6,5.97
-5.5,5.47
-5,4.97
-4.5,4.47
-4,3.97
-3.5,3.47
-3,2.96
-2.5,2.47
-2,1.95
-1.5,1.47
-1,0.95
-0.5,0.45
-0.2,0.16
0,-0.04
0.2,-0.25
0.5,-0.54
1,-1.04
1.5,-1.53
2,-2.03
2.5,-2.53
3,-3.05
3.5,-3.56
4,-4.05
4.5,-4.54
5,-5.04
5.5,-5.53
6,-6.06
6.5,-6.54
7,-7.06
7.5,-7.56
8,-8.06
8.5,-8.17
9,-8.17
