Frequency (Hz),Trace Irms (A),Input Inp
452628.5339,5.41E-05,1.31E+04
473624.0899,5.40E-05,1.31E+04
495593.5424,5.40E-05,1.31E+04
518582.0665,5.38E-05,1.31E+04
542636.9327,5.37E-05,1.32E+04
567807.6041,5.36E-05,1.32E+04
594145.8383,5.35E-05,1.32E+04
621705.7937,5.33E-05,1.33E+04
650544.1408,5.32E-05,1.33E+04
680720.179,5.30E-05,1.33E+04
712295.9582,5.28E-05,1.34E+04
745336.4065,5.26E-05,1.34E+04
779909.4638,5.24E-05,1.35E+04
816086.2215,5.22E-05,1.36E+04
853941.0686,5.19E-05,1.36E+04
893551.8447,5.17E-05,1.37E+04
935000,5.14E-05,1.38E+04
