Frequency (Hz),Trace Irms (A),Input Inp
1040,5.59E-05,1.26E+04
1088.241276,5.59E-05,1.26E+04
1138.720265,5.59E-05,1.27E+04
1191.540764,5.58E-05,1.27E+04
1246.811387,5.58E-05,1.27E+04
1304.645784,5.58E-05,1.27E+04
1365.162878,5.57E-05,1.27E+04
1428.487108,5.57E-05,1.27E+04
1494.748686,5.56E-05,1.27E+04
1564.083864,5.56E-05,1.27E+04
1636.635212,5.56E-05,1.27E+04
1712.551916,5.55E-05,1.27E+04
1791.990079,5.55E-05,1.27E+04
1875.113049,5.54E-05,1.28E+04
1962.091748,5.54E-05,1.28E+04
2053.105027,5.54E-05,1.28E+04
2148.340034,5.54E-05,1.28E+04
2247.992597,5.53E-05,1.28E+04
2352.267628,5.53E-05,1.28E+04
2461.379544,5.53E-05,1.28E+04
2575.552709,5.52E-05,1.28E+04
2695.021892,5.52E-05,1.28E+04
2820.032753,5.52E-05,1.28E+04
2950.842349,5.51E-05,1.28E+04
3087.719658,5.51E-05,1.28E+04
3230.946136,5.51E-05,1.28E+04
3380.816296,5.51E-05,1.28E+04
3537.638309,5.51E-05,1.28E+04
3701.734643,5.50E-05,1.28E+04
3873.442724,5.50E-05,1.29E+04
4053.115629,5.50E-05,1.29E+04
4241.122813,5.50E-05,1.29E+04
4437.850868,5.50E-05,1.29E+04
4643.704321,5.50E-05,1.29E+04
4859.106459,5.49E-05,1.29E+04
5084.500207,5.50E-05,1.29E+04
5320.349034,5.49E-05,1.29E+04
5567.137907,5.49E-05,1.29E+04
5825.37429,5.49E-05,1.29E+04
6095.589186,5.49E-05,1.29E+04
6378.338227,5.49E-05,1.29E+04
6674.202821,5.49E-05,1.29E+04
6983.791343,5.49E-05,1.29E+04
7307.74039,5.49E-05,1.29E+04
7646.716086,5.49E-05,1.29E+04
8001.415456,5.49E-05,1.29E+04
8372.567854,5.49E-05,1.29E+04
8760.93647,5.49E-05,1.29E+04
9167.319891,5.49E-05,1.29E+04
9592.55375,5.49E-05,1.29E+04
10037.51244,5.48E-05,1.29E+04
10503.11091,5.48E-05,1.29E+04
10990.30656,5.49E-05,1.29E+04
11500.10119,5.49E-05,1.29E+04
12033.54308,5.48E-05,1.29E+04
12591.72912,5.48E-05,1.29E+04
13175.80708,5.48E-05,1.29E+04
13786.978,5.48E-05,1.29E+04
14426.49859,5.48E-05,1.29E+04
15095.68388,5.49E-05,1.29E+04
15795.9099,5.48E-05,1.29E+04
16528.61649,5.48E-05,1.29E+04
17295.3103,5.49E-05,1.29E+04
18097.56784,5.48E-05,1.29E+04
18937.03878,5.48E-05,1.29E+04
19815.44928,5.49E-05,1.29E+04
20734.60559,5.49E-05,1.29E+04
21696.39775,5.48E-05,1.29E+04
22702.80344,5.48E-05,1.29E+04
23755.89211,5.48E-05,1.29E+04
24857.82919,5.48E-05,1.29E+04
26010.88054,5.48E-05,1.29E+04
27217.41715,5.49E-05,1.29E+04
28479.91998,5.48E-05,1.29E+04
29800.98507,5.48E-05,1.29E+04
31183.32888,5.48E-05,1.29E+04
32629.79387,5.48E-05,1.29E+04
34143.35435,5.48E-05,1.29E+04
35727.12262,5.48E-05,1.29E+04
37384.35531,5.48E-05,1.29E+04
39118.46013,5.49E-05,1.29E+04
40933.00287,5.48E-05,1.29E+04
42831.71471,5.49E-05,1.29E+04
44818.49989,5.48E-05,1.29E+04
46897.44377,5.48E-05,1.29E+04
49072.82122,5.49E-05,1.29E+04
51349.10539,5.48E-05,1.29E+04
53730.97692,5.49E-05,1.29E+04
56223.33356,5.48E-05,1.29E+04
58831.30027,5.48E-05,1.29E+04
61560.23971,5.49E-05,1.29E+04
64415.7633,5.48E-05,1.29E+04
67403.74277,5.48E-05,1.29E+04
70530.32218,5.48E-05,1.29E+04
73801.93061,5.48E-05,1.29E+04
77225.29535,5.48E-05,1.29E+04
80807.45576,5.49E-05,1.29E+04
84555.77769,5.49E-05,1.29E+04
88477.96869,5.49E-05,1.29E+04
92582.09383,5.49E-05,1.29E+04
96876.59227,5.48E-05,1.29E+04
101370.2946,5.49E-05,1.29E+04
106072.4412,5.48E-05,1.29E+04
110992.7008,5.49E-05,1.29E+04
116141.1907,5.49E-05,1.29E+04
121528.4977,5.48E-05,1.29E+04
127165.6995,5.48E-05,1.29E+04
133064.3876,5.48E-05,1.29E+04
139236.6914,5.48E-05,1.29E+04
145695.3027,5.48E-05,1.29E+04
152453.5021,5.48E-05,1.29E+04
159525.1862,5.48E-05,1.29E+04
166924.8964,5.48E-05,1.29E+04
174667.8484,5.48E-05,1.29E+04
182769.9637,5.48E-05,1.29E+04
191247.9025,5.48E-05,1.29E+04
200119.0977,5.48E-05,1.29E+04
209401.7907,5.47E-05,1.29E+04
219115.0692,5.47E-05,1.29E+04
229278.9063,5.47E-05,1.29E+04
239914.2016,5.47E-05,1.29E+04
251042.824,5.47E-05,1.29E+04
262687.657,5.47E-05,1.29E+04
274872.6453,5.46E-05,1.29E+04
287622.8446,5.46E-05,1.30E+04
300964.4726,5.46E-05,1.30E+04
314924.9633,5.45E-05,1.30E+04
329533.0231,5.45E-05,1.30E+04
344818.6901,5.45E-05,1.30E+04
360813.3956,5.44E-05,1.30E+04
377550.029,5.43E-05,1.30E+04
395063.0053,5.43E-05,1.30E+04
413388.3357,5.42E-05,1.30E+04
432563.702,5.42E-05,1.31E+04
