Input,Output
-9,0.85
-8.5,0.81
-8,0.75
-7.5,0.69
-7,0.66
-6.5,0.62
-6,0.56
-5.5,0.5
-5,0.45
-4.5,0.41
-4,0.37
-3.5,0.31
-3,0.25
-2.5,0.22
-2,0.16
-1.5,0.1
-1,0.06
-0.5,0
-0.2,0
0,0
0.2,-0.01
0.5,-0.09
1,-0.13
1.5,-0.19
2,-0.25
2.5,-0.31
3,-0.34
3.5,-0.38
4,-0.44
4.5,-0.48
5,-0.54
5.5,-0.59
6,-0.63
6.5,-0.69
7,-0.73
7.5,-0.79
8,-0.84
8.5,-0.89
9,-0.94
