Frequency (Hz),Zin
1000,2705.490268
1047.128548,2706.610869
1096.478196,2706.628188
1148.153621,2708.083915
1202.264435,2710.131657
1258.925412,2709.60252
1318.256739,2711.404644
1380.384265,2712.141639
1445.439771,2713.383606
1513.561248,2714.524317
1584.893192,2716.34586
1659.586907,2717.292389
1737.800829,2718.705205
1819.700859,2719.071952
1905.460718,2720.228203
1995.262315,2721.233537
2089.296131,2723.487946
2187.761624,2724.514698
2290.867653,2724.956206
2398.832919,2726.333378
2511.886432,2727.811167
2630.267992,2729.380944
2754.228703,2729.479211
2884.031503,2730.55607
3019.95172,2732.105608
3162.27766,2733.74647
3311.311215,2734.046112
3467.368505,2735.6895
3630.780548,2736.777156
3801.893963,2738.118103
3981.071706,2740.083329
4168.693835,2740.434603
4365.158322,2742.758959
4570.881896,2742.954211
4786.300923,2744.430948
5011.872336,2746.682471
5248.074602,2748.815342
5495.408739,2750.134141
5754.399373,2753.16305
6025.595861,2755.687442
6309.573445,2758.473814
6606.93448,2761.165769
6918.309709,2765.862732
7244.359601,2769.362001
7585.77575,2775.249598
7943.282347,2781.226921
8317.637711,2785.651929
8709.6359,2794.36121
9120.108394,2802.297097
9549.92586,2813.561089
10000,2826.380828
10471.28548,2841.023165
10964.78196,2857.770987
11481.53621,2877.98048
12022.64435,2902.821554
12589.25412,2931.487413
13182.56739,2965.346802
13803.84265,3005.079434
14454.39771,3050.689001
15135.61248,3101.75711
15848.93192,3161.632122
16595.86907,3228.628662
17378.00829,3303.74368
18197.00859,3383.759122
19054.60718,3471.111824
19952.62315,3561.979322
20892.96131,3657.167487
21877.61624,3755.769225
22908.67653,3853.800711
23988.32919,3952.836761
25118.86432,4053.468484
26302.67992,4151.761992
27542.28703,4245.275431
28840.31503,4339.289643
30199.5172,4426.989083
31622.7766,4513.354069
33113.11215,4592.423114
34673.68505,4666.257815
36307.80548,4736.767806
38018.93963,4801.025293
39810.71706,4863.103403
41686.93835,4916.443494
43651.58322,4963.278189
45708.81896,5007.041291
47863.00923,5044.075502
50118.72336,5080.436577
52480.74602,5105.39493
54954.08739,5136.103922
57543.99373,5153.798832
60255.95861,5171.479257
63095.73445,5184.812897
66069.3448,5200.516476
69183.09709,5205.829015
72443.59601,5213.257554
75857.7575,5216.417861
79432.82347,5219.619888
83176.37711,5221.192393
87096.359,5225.016961
91201.08394,5222.878674
95499.2586,5224.64659
100000,5220.429742
104712.8548,5220.79373
109647.8196,5227.214997
114815.3621,5225.642807
120226.4435,5223.224078
125892.5412,5229.230015
131825.6739,5228.695894
138038.4265,5228.87238
144543.9771,5225.424912
151356.1248,5229.091113
158489.3192,5228.395873
165958.6907,5227.6712
173780.0829,5227.892241
181970.0859,5226.503855
190546.0718,5225.558701
199526.2315,5224.735677
208929.6131,5222.846075
218776.1624,5218.95542
229086.7653,5216.852368
239883.2919,5221.425683
251188.6432,5211.144646
263026.7992,5212.495023
275422.8703,5208.687733
288403.1503,5201.525958
301995.172,5198.231696
316227.766,5192.855898
331131.1215,5188.32488
346736.8505,5183.807244
363078.0548,5172.74114
380189.3963,5164.79145
398107.1706,5155.059297
416869.3835,5146.059255
436515.8322,5132.569711
457088.1896,5125.61132
478630.0923,5097.659907
501187.2336,5095.220713
524807.4602,5078.411754
549540.8739,5065.538805
575439.9373,5046.300254
602559.5861,5029.339865
630957.3445,5009.900786
660693.448,4988.350835
691830.9709,4966.117943
724435.9601,4942.943168
758577.575,4915.101638
794328.2347,4889.07056
831763.7711,4860.952319
870963.59,4829.046512
912010.8394,4799.426165
954992.586,4820.417257
1000000,4728.310786
